IP,Port,Protocol,Status,Service
192.168.1.60,190,TCP,Free,
192.168.1.60,163,TCP,Free,
192.168.1.60,162,TCP,Free,
192.168.1.60,181,TCP,Free,
192.168.1.60,159,TCP,Free,
192.168.1.60,197,TCP,Free,
192.168.1.60,157,TCP,Free,
192.168.1.60,158,TCP,Free,
192.168.1.60,173,TCP,Free,
192.168.1.60,172,TCP,Free,
192.168.1.60,177,TCP,Free,
192.168.1.60,184,TCP,Free,
192.168.1.60,199,TCP,Free,
192.168.1.60,195,TCP,Free,
192.168.1.60,189,TCP,Free,
192.168.1.60,178,TCP,Free,
192.168.1.60,156,TCP,Free,
192.168.1.60,165,TCP,Free,
192.168.1.60,186,TCP,Free,
192.168.1.60,179,TCP,Free,
192.168.1.60,152,TCP,Free,
192.168.1.60,183,TCP,Free,
192.168.1.60,169,TCP,Free,
192.168.1.60,200,TCP,Free,
192.168.1.60,204,TCP,Free,
192.168.1.60,215,TCP,Free,
192.168.1.60,213,TCP,Free,
192.168.1.60,205,TCP,Free,
192.168.1.60,217,TCP,Free,
192.168.1.60,227,TCP,Free,
192.168.1.60,224,TCP,Free,
192.168.1.60,243,TCP,Free,
192.168.1.60,238,TCP,Free,
192.168.1.60,249,TCP,Free,
192.168.1.60,242,TCP,Free,
192.168.1.60,248,TCP,Free,
192.168.1.60,222,TCP,Free,
192.168.1.60,214,TCP,Free,
192.168.1.60,225,TCP,Free,
192.168.1.60,216,TCP,Free,
192.168.1.60,244,TCP,Free,
192.168.1.60,234,TCP,Free,
192.168.1.60,210,TCP,Free,
192.168.1.60,239,TCP,Free,
192.168.1.60,245,TCP,Free,
192.168.1.60,221,TCP,Free,
192.168.1.60,218,TCP,Free,
192.168.1.60,228,TCP,Free,
192.168.1.60,206,TCP,Free,
192.168.1.60,237,TCP,Free,
192.168.1.60,231,TCP,Free,
192.168.1.60,229,TCP,Free,
192.168.1.60,220,TCP,Free,
192.168.1.60,226,TCP,Free,
192.168.1.60,241,TCP,Free,
192.168.1.60,233,TCP,Free,
192.168.1.60,240,TCP,Free,
192.168.1.60,232,TCP,Free,
192.168.1.60,202,TCP,Free,
192.168.1.60,203,TCP,Free,
192.168.1.60,207,TCP,Free,
192.168.1.60,219,TCP,Free,
192.168.1.60,208,TCP,Free,
192.168.1.60,230,TCP,Free,
192.168.1.60,235,TCP,Free,
192.168.1.60,201,TCP,Free,
192.168.1.60,223,TCP,Free,
192.168.1.60,246,TCP,Free,
192.168.1.60,209,TCP,Free,
192.168.1.60,236,TCP,Free,
192.168.1.60,211,TCP,Free,
192.168.1.60,247,TCP,Free,
192.168.1.60,250,TCP,Free,
192.168.1.60,212,TCP,Free,
192.168.1.60,251,TCP,Free,
192.168.1.60,261,TCP,Free,
192.168.1.60,254,TCP,Free,
192.168.1.60,262,TCP,Free,
192.168.1.60,278,TCP,Free,
192.168.1.60,266,TCP,Free,
192.168.1.60,253,TCP,Free,
192.168.1.60,282,TCP,Free,
192.168.1.60,285,TCP,Free,
192.168.1.60,255,TCP,Free,
192.168.1.60,263,TCP,Free,
192.168.1.60,268,TCP,Free,
192.168.1.60,260,TCP,Free,
192.168.1.60,292,TCP,Free,
192.168.1.60,265,TCP,Free,
192.168.1.60,287,TCP,Free,
192.168.1.60,270,TCP,Free,
192.168.1.60,280,TCP,Free,
192.168.1.60,272,TCP,Free,
192.168.1.60,293,TCP,Free,
192.168.1.60,258,TCP,Free,
192.168.1.60,299,TCP,Free,
192.168.1.60,257,TCP,Free,
192.168.1.60,284,TCP,Free,
192.168.1.60,256,TCP,Free,
192.168.1.60,275,TCP,Free,
192.168.1.60,283,TCP,Free,
192.168.1.60,296,TCP,Free,
192.168.1.60,281,TCP,Free,
192.168.1.60,288,TCP,Free,
192.168.1.60,300,TCP,Free,
192.168.1.60,252,TCP,Free,
192.168.1.60,291,TCP,Free,
192.168.1.60,295,TCP,Free,
192.168.1.60,279,TCP,Free,
192.168.1.60,259,TCP,Free,
192.168.1.60,274,TCP,Free,
192.168.1.60,289,TCP,Free,
192.168.1.60,297,TCP,Free,
192.168.1.60,267,TCP,Free,
192.168.1.60,264,TCP,Free,
192.168.1.60,277,TCP,Free,
192.168.1.60,269,TCP,Free,
192.168.1.60,294,TCP,Free,
192.168.1.60,271,TCP,Free,
192.168.1.60,298,TCP,Free,
192.168.1.60,276,TCP,Free,
192.168.1.60,290,TCP,Free,
192.168.1.60,286,TCP,Free,
192.168.1.60,273,TCP,Free,
192.168.1.60,301,TCP,Free,
192.168.1.60,303,TCP,Free,
192.168.1.60,310,TCP,Free,
192.168.1.60,306,TCP,Free,
192.168.1.60,330,TCP,Free,
192.168.1.60,315,TCP,Free,
192.168.1.60,328,TCP,Free,
192.168.1.60,313,TCP,Free,
192.168.1.60,338,TCP,Free,
192.168.1.60,320,TCP,Free,
192.168.1.60,334,TCP,Free,
192.168.1.60,337,TCP,Free,
192.168.1.60,342,TCP,Free,
192.168.1.60,324,TCP,Free,
192.168.1.60,309,TCP,Free,
192.168.1.60,318,TCP,Free,
192.168.1.60,325,TCP,Free,
192.168.1.60,304,TCP,Free,
192.168.1.60,322,TCP,Free,
192.168.1.60,307,TCP,Free,
192.168.1.60,316,TCP,Free,
192.168.1.60,347,TCP,Free,
192.168.1.60,323,TCP,Free,
192.168.1.60,311,TCP,Free,
192.168.1.60,321,TCP,Free,
192.168.1.60,341,TCP,Free,
192.168.1.60,345,TCP,Free,
192.168.1.60,344,TCP,Free,
192.168.1.60,331,TCP,Free,
192.168.1.60,350,TCP,Free,
192.168.1.60,339,TCP,Free,
192.168.1.60,340,TCP,Free,
192.168.1.60,343,TCP,Free,
192.168.1.60,327,TCP,Free,
192.168.1.60,302,TCP,Free,
192.168.1.60,349,TCP,Free,
192.168.1.60,332,TCP,Free,
192.168.1.60,333,TCP,Free,
192.168.1.60,314,TCP,Free,
192.168.1.60,312,TCP,Free,
192.168.1.60,348,TCP,Free,
192.168.1.60,335,TCP,Free,
192.168.1.60,305,TCP,Free,
192.168.1.60,319,TCP,Free,
192.168.1.60,308,TCP,Free,
192.168.1.60,336,TCP,Free,
192.168.1.60,317,TCP,Free,
192.168.1.60,326,TCP,Free,
192.168.1.60,346,TCP,Free,
192.168.1.60,329,TCP,Free,
192.168.1.60,351,TCP,Free,
192.168.1.60,368,TCP,Free,
192.168.1.60,358,TCP,Free,
